id,input_amounts
0,['0.00195024']
1,"['0.00195209', '0.00195209']"
2,['0.00195209']
3,['0.00195209']
4,['0.00195209']
5,['0.00195209']
6,['0.00195209']
7,['0.00195209']
8,['0.00195209']
9,['0.00195209']
10,['0.00195209']
11,"['0.00195209', '0.00195209', '0.00195209', '0.00195209', '0.00195209', '0.00195209']"
12,['0.00195209']
13,['0.00195209']
14,['0.00195209']
15,['0.00195209']
16,['0.00195209']
17,['0.00195209']
18,['0.00195209']
19,['0.00195209']
20,['0.00195209']
21,['0.00195209']
22,['0.00195209']
23,['0.00195209']
24,['0.00195209']
25,['0.00195209']
26,['0.00195209']
27,"['0.00195209', '0.00195209']"
28,['0.00195209']
29,['0.00195209']
30,['0.00195209']
31,"['0.00195209', '0.00195209']"
32,['0.00195209']
33,['0.00195209']
34,"['0.00195209', '0.00195209']"
35,['0.00195209']
36,['0.00195209']
37,['0.00195209']
38,['0.00195209']
39,['0.00195209']
40,['0.00195209']
41,['0.00195209']
42,['0.00195209']
43,['0.00195209']
44,['0.00195209']
45,['0.00195209']
46,['0.00195209']
47,['0.00195209']
48,['0.00195209']
49,['0.00195209']
50,['0.00195209']
51,['0.00184795']
52,['0.00190009']
53,['0.00144799']
54,['0.00184977']
55,['0.00144966']
56,['0.00184160']
57,['0.00195209']
58,['0.00143979']
59,['0.00144243']
60,['0.00144783']
61,['0.00144776']
62,['0.00169957']
63,['0.00184244']
64,['0.00144488']
65,['0.00183751']
66,['0.00183986']
67,['0.00184157']
68,"['0.00195209', '0.00195209']"
69,['0.00144585']
70,['0.00184867']
71,['0.00184494']
72,['0.00184162']
73,['0.00143649']
74,['0.00183581']
75,['0.00183575']
76,['0.00144838']
77,['0.00184209']
78,"['0.00195209', '0.00195209']"
79,['0.00183960']
80,['0.00183585']
81,['0.00143920']
82,['0.00184900']
83,['0.00184678']
84,['0.00144965']
85,['0.00184976']
86,['0.00144880']
87,['0.00144900']
88,['0.00184160']
89,['0.00184380']
90,"['0.00195209', '0.00195209']"
91,['0.00144283']
92,['0.00144865']
93,['0.00182089']
94,['0.00182757']
95,['0.00183072']
96,['0.00182561']
97,['0.00183187']
98,['0.00183220']
99,['0.00182433']
100,['0.00141676']
101,"['0.00181464', '0.00195209']"
102,['0.00170465']
103,['0.00136099']
104,['0.00183429']
105,['0.00131638']
106,['0.00131050']
107,['0.00131214']
108,['0.00142910']
109,['0.00172168']
110,"['0.00195209', '0.00195209', '0.00195209', '0.00188563', '0.00195209', '0.00195209']"
111,"['0.00195209', '0.00195209']"
112,['0.00091358']
113,['0.00188276']
114,['0.00117372']
115,['0.00130537']
116,['0.00131363']
117,['0.00132177']
118,['0.00132213']
119,['0.00170006']
120,['0.00132020']
121,['0.00170714']
122,['0.00131027']
123,['0.00171027']
124,['0.00131724']
125,"['0.00195209', '0.00195209']"
126,['0.00132682']
127,['0.00133995']
128,['0.00132484']
129,['0.00171298']
130,['0.00132392']
131,['0.00171727']
132,['0.00133568']
133,['0.00172227']
134,['0.00132222']
135,['0.00172867']
136,['0.00130235']
137,['0.00170154']
138,['0.00128843']
139,['0.00168656']
140,['0.00089442']
141,['0.00168253']
142,['0.00121836']
143,['0.00119462']
144,['0.00157516']
145,['0.00158435']
146,['0.00157984']
147,['0.00157591']
148,['0.00173075']
149,['0.00174169']
150,['0.00158633']
151,['0.00159488']
152,['0.00117614']
153,"['0.00195209', '0.00195209']"
154,['0.00118819']
155,['0.00120903']
156,['0.00113809']
157,['0.00073188']
158,['0.00155924']
159,['0.00112712']
160,['0.00114270']
161,['0.00125155']
162,['0.00127333']
163,['0.00144650']
164,['0.00124458']
165,['0.00097518']
166,['0.00113980']
167,['0.00165748']
168,['0.00115691']
169,['0.00114965']
170,['0.00116647']
171,['0.00115892']
172,['0.00153189']
173,"['0.00189837', '0.00153487', '0.00195209', '0.00185951', '0.00113020', '0.00195209']"
174,['0.00114452']
175,['0.00114706']
176,['0.00066967']
177,['0.00110739']
